lot_no,location
K446,A1.2
K446,A1.4
2663,A1.6
3312,A1.8
3310,A1.9
3310,A1.10
3314,A1.11
3314,A1.12
3306,A1.14
2664,A1.15
2664,A1.16
3705,A1.17
3305,A1.18
3303,A1.19
3303,A1.20
3591,A1.21
3316,A1.22
1668,A1.23
4184,A1.24
4130,A1.25
0082,A1.26
0127,A1.27
2626,B1.5
6496,B1.6
6495,B1.8
0626,B1.9
3505,B1.10
1169,B1.11
0643,B1.12
2546,B1.13
2546,B1.14
1662,B1.15
1662,B1.16
1474,B1.17
1281,B1.18
1169,B1.19
1169,B1.20
0133,B1.21
0137,B1.22
8397,B1.23
8397,B1.24
1747,B1.25
1482,B1.26
0385,B1.27
1325,B1.28
1604,B1.29
1139,B1.31
1527,C1.10
0557,C1.11
0557,C1.12
2483,C1.13
2483,C1.14
1169,C1.16
2530,C1.17
2530,C1.18
1662,C1.19
1124,C1.20
0585,C1.21
0585,C1.22
0602,C1.23
0602,C1.24
1697,C1.25
2482,C1.26
1662,C1.27
0682,C1.29
HG,D1.25
2-72,D1.27
GR,D1.28
